"","Value","Std.Error","t-value","p-value"
"(Intercept)",0.384691648027751,0.131643363893631,2.92222590375756,0.009
"biomeMediterranean Forests, Woodlands & Scrub",0.0176178497304871,0.209053890965136,0.0842742014948925,0.934
"biomeMontane Grasslands & Shrublands",1.18351993810483,1.24701557505791,0.949081921490727,0.355
"biomeTropical & Subtropical Grasslands, Savannas & Shrubland",0.273170612412538,0.248770147362297,1.09808437752262,0.287
"biomeTropical & Subtropical Moist Broadleaf Forests",-0.168506459894567,0.246466199061497,-0.683689936130034,0.503
"prop_bee_angios",0.051402755378982,1.02042402189334,0.0503739173874084,0.96
"biomeMediterranean Forests, Woodlands & Scrub:prop_bee_angios",0.742099792114223,1.64795499308927,0.450315570040585,0.658
"biomeMontane Grasslands & Shrublands:prop_bee_angios",-17.8709996532497,18.729038183578,-0.954186727480717,0.353
"biomeTropical & Subtropical Grasslands, Savannas & Shrubland:prop_bee_angios",-3.04614108675004,5.06599849939465,-0.601291351964283,0.555
"biomeTropical & Subtropical Moist Broadleaf Forests:prop_bee_angios",7.41257592476699,6.15141074181635,1.20502047999777,0.244
