"LEVEL3_COD","Total2","lon","lat","area_name"
"ABT",317,-114.5109586,55.16847238,"Alberta"
"AGE",359,-61.25804947,-32.60064427,"Argentina Northeast"
"AGS",179,-68.87745523,-44.09784241,"Argentina South"
"AGW",439,-66.36119564,-29.14959223,"Argentina Northwest"
"ALA",220,-86.82861598,32.79475014,"Alabama"
"ALU",9,-166.8815414,53.66953083,"Aleutian Is."
"ARI",1319,-111.6575963,34.29669616,"Arizona"
"ARK",190,-92.44235749,34.90084347,"Arkansas"
"ARU",2,-69.97713313,12.51668736,"Aruba"
"ASK",127,-153.144199,64.7199447,"Alaska"
"BAH",39,-78.0402285,24.70114272,"Bahamas"
"BER",7,-64.75265123,32.30928669,"Bermuda"
"BLZ",155,-88.69673167,17.20946729,"Belize"
"BOL",590,-64.67053986,-16.71511345,"Bolivia"
"BRC",455,-124.5877066,54.97499304,"British Columbia"
"BZC",593,-54.29442685,-15.29799181,"Brazil West-Central"
"BZE",600,-41.72924527,-8.637404464,"Brazil Northeast"
"BZL",982,-45.48124688,-19.72150227,"Brazil Southeast"
"BZN",767,-59.38750287,-4.68763311,"Brazil North"
"BZS",757,-52.26732194,-27.56919933,"Brazil South"
"CAL",1672,-119.5880359,37.24873484,"California"
"CAY",3,-81.23929535,19.30812192,"Cayman Is."
"CLC",291,-71.50360801,-34.96793939,"Chile Central"
"CLM",634,-73.07197409,3.900424955,"Colombia"
"CLN",216,-69.43770693,-23.869117,"Chile North"
"CLS",81,-72.77554014,-46.85007984,"Chile South"
"CNT",406,-72.72758095,41.62574308,"Connecticut"
"COL",850,-105.5337039,38.99914653,"Colorado"
"COS",549,-84.18817366,9.970374953,"Costa Rica"
"CUB",104,-78.96284822,21.60948481,"Cuba"
"DEL",244,-75.51281006,38.99814067,"Delaware"
"DOM",55,-70.48962428,18.89637559,"Dominican Republic"
"ECU",523,-78.38601768,-1.448656393,"Ecuador"
"ELS",110,-88.86670344,13.7366662,"El Salvador"
"FLA",353,-82.48815927,28.66333473,"Florida"
"FRG",199,-53.24126852,3.924382847,"French Guiana"
"GAL",4,-91.18685589,-0.570521172,"Galápagos"
