"sp_rich","family_rich","one_area","lon","lat"
13475,251,"COS",-84.18900416,9.97048332
20440,262,"VEN",-66.16904087,7.11881723
18712,250,"BOL",-64.67053986,-16.71511345
29428,263,"CLM",-73.07536004,3.89994003
21643,244,"ECU",-78.39320695,-1.45291002
24966,255,"PER",-74.37540458,-9.16377219
16665,216,"BZN",-59.25074171,-4.63061752
7595,195,"AGE",-61.25823203,-32.60227233
7463,181,"AGW",-66.36119564,-29.14959223
21858,221,"BZL",-45.48097772,-19.72534706
11872,235,"MLY",102.17839952,4.02825781
9983,229,"SUM",101.6400768,-0.47759521
2532,155,"BIS",150.62653619,-4.93690166
3293,168,"SOL",158.33998506,-8.14793443
14869,227,"BOR",114.20001665,0.86789053
7104,189,"TEX",-99.35743679,31.49694154
10843,231,"IND",78.38500961,21.72683562
14903,242,"MXE",-103.06075194,25.85226948
17641,258,"MXS",-100.70238843,18.84794656
2822,99,"DEN",10.05081371,55.96231825
3330,99,"FIN",26.2588367,64.49433632
675,64,"FOR",-6.86363602,62.050314
4398,110,"GRB",-2.66771255,54.1326318
1188,64,"ICE",-18.60571912,64.99764841
2308,93,"IRE",-7.89657049,53.42679385
3199,105,"NOR",14.07512794,64.44787198
5011,104,"SWE",16.74115723,62.78773775
6378,115,"AUT",14.13049501,47.59204781
3210,111,"BGM",4.77315253,50.57626801
5801,115,"CZE",16.90966574,49.35117627
6585,119,"GER",10.39233019,51.11015179
4295,113,"HUN",19.41351505,47.16651731
2963,104,"NET",5.60098481,52.25357258
4568,114,"POL",19.4009187,52.12472508
5879,116,"SWI",8.23458716,46.80257618
3739,120,"COR",9.1053123,42.15818981
10704,136,"FRA",2.44973015,46.63235293
10937,140,"SPA",-3.5517234,40.39416927
8430,137,"GRC",22.67457493,39.36723827
10203,140,"ITA",12.15507355,43.52557329
5896,122,"ROM",24.96918232,45.84359796
8978,139,"YUG",18.72433855,44.16024112
2874,101,"BLT",24.50203088,56.67179107
2568,98,"BLR",28.04696571,53.5402221
3358,105,"RUC",39.80245698,54.88373843
4018,113,"RUE",53.73073876,56.12331853
2971,95,"RUN",45.85434037,64.50418421
5229,121,"UKR",31.11581544,49.06577305
3939,109,"ALT",84.13073238,51.9681624
2844,101,"BRY",109.5025411,53.55446059
2466,103,"CTA",116.20082567,52.8406914
2714,97,"IRK",106.35844182,57.09665492
3296,97,"KRA",95.90105951,67.2499994
2613,92,"TVA",94.79308741,51.57947047
3521,101,"WSB",72.11695974,62.53729779
2337,114,"AMU",127.72544871,53.39992279
1864,83,"KAM",163.00801347,58.928288
2981,122,"KHA",137.12908698,54.58518626
1945,117,"KUR",150.79748154,46.9490112
1936,73,"MAG",128.53942394,65.14920159
3138,130,"PRM",134.71377463,45.16706365
2102,112,"SAK",142.71207547,50.3342599
6148,130,"NCS",42.86217833,44.34380339
8172,141,"TCS",45.58312388,41.01420856
14064,149,"TUR",35.43587039,38.98893748
26711,258,"CHC",104.64089103,28.51736897
3507,123,"CHI",113.55483527,43.79697593
3928,140,"CHM",126.49884207,45.75175656
4829,108,"CHX",85.25096208,41.12316666
4254,109,"MON",103.08302896,46.8352093
8351,197,"JAP",138.02894851,37.60209081
2266,88,"ASK",-152.47118693,64.30501188
670,60,"ALU",-108.53791587,52.80766049
860,55,"GNL",-41.39096492,74.71896347
1716,80,"NWT",-118.98234351,66.33106742
1025,64,"NUN",-88.91446901,71.04867652
1822,80,"YUK",-135.49814825,63.6357503
2682,106,"ABT",-114.51095857,55.16847238
3741,117,"BRC",-124.75696311,54.75407132
2213,115,"MAN",-97.43005757,54.92648933
2142,108,"SAS",-105.89005483,54.41922757
1212,77,"LAB",-61.95852761,54.28513133
1850,119,"NBR",-66.37001739,46.63101173
1635,94,"NFL",-56.02938217,48.71653404
1817,121,"NSC",-63.30227022,45.14835243
3383,142,"ONT",-85.83256685,50.07309622
3016,127,"QUE",-71.75499676,53.38114914
4453,122,"COL",-105.53370387,38.99914653
3979,108,"IDA",-114.65392691,44.39671877
3674,114,"MNT",-109.62398347,47.03479245
5282,126,"ORE",-120.54087574,43.94031793
4059,118,"WAS",-120.43123061,47.38672446
3759,111,"WYO",-107.53986541,42.99898778
3536,155,"ILL",-89.15471894,40.12111514
2936,134,"MIN",-94.1991062,46.34787407
1943,113,"NDA",-100.45941516,47.44750073
2431,117,"SDA",-100.21985622,44.43756367
2960,138,"WIS",-89.73838902,44.64217154
2672,144,"CNT",-72.72758095,41.62574308
3087,149,"INI",-86.28535884,39.91382309
2592,136,"MAI",-69.22759999,45.39587882
2845,142,"MAS",-71.80907678,42.25862899
3080,141,"MIC",-85.7362084,44.88051006
2438,138,"NWH",-71.5792793,43.68999511
3014,153,"NWJ",-74.66262909,40.18920093
3618,152,"NWY",-75.69458709,42.99492034
3066,148,"OHI",-82.70728238,40.41552797
3309,152,"PEN",-77.83950118,40.89843684
2587,139,"VER",-72.65980015,44.08247962
4885,118,"UTA",-111.67463244,39.32520384
9298,154,"CAL",-119.58745486,37.23999046
15822,255,"CHS",114.42714192,28.08960648
4425,177,"ALA",-86.82906784,32.79389912
3364,158,"ARK",-92.44235749,34.90084347
4375,182,"GEO",-83.4466779,32.65409017
4262,172,"NCA",-79.38015679,35.54958921
3874,175,"SCA",-80.90042082,33.91755375
3662,159,"TEN",-86.34752902,35.85105204
4816,120,"IRQ",43.7722378,33.04801462
14258,207,"BZE",-41.7295316,-8.63517922
12537,205,"BZC",-54.29442685,-15.2979918
2076,129,"NZN",175.72721777,-38.57756132
2558,119,"NZS",170.4796022,-44.02210596
3208,170,"LEE",-62.28954902,16.92084642
8622,205,"GUY",-58.97416751,4.7923797
16442,249,"NWG",140.83232114,-5.34595233
3141,169,"WIN",-60.99581399,14.09530183
15276,264,"VIE",106.30403016,16.65164518
13000,255,"MYA",96.50882912,21.14042439
7945,185,"WHM",76.67316703,33.3215968
2140,141,"NCB",93.60166544,7.50716489
9902,197,"CHT",88.11841654,31.712301
10794,220,"EHM",92.91094723,27.79711548
8972,217,"NEP",83.938516,28.25300795
12780,241,"PAN",-80.10899702,8.50542914
507,68,"ARU",-69.97713314,12.51668736
1425,123,"VNA",-64.34912638,11.05814758
8248,211,"CUB",-79.03522543,21.6201256
5193,211,"ELS",-88.86559446,13.73614153
10972,247,"GUA",-90.35694443,15.70230638
9112,245,"HON",-86.6201546,14.81592873
8167,236,"NIC",-85.03470963,12.839712
5560,199,"DOM",-70.48543965,18.89309066
5214,196,"HAI",-72.68384348,18.93893862
5495,221,"CHH",109.74200976,19.20103622
7285,219,"LAO",103.76341319,18.50244319
14410,257,"THA",101.01490759,15.11989715
11081,208,"BZS",-52.26177998,-27.56814167
3941,165,"URU",-56.01217767,-32.7995689
9168,236,"ASS",92.85194548,25.48271621
12147,235,"PHI",122.87363203,11.74740395
1032,89,"GAL",-90.89331316,-0.56223084
6333,226,"BAN",90.27093153,23.83299498
7909,222,"JAW",110.07670308,-7.28863437
4798,212,"LSI",123.08090575,-8.63369463
5787,134,"ALG",2.63236233,28.16335451
6700,221,"TAI",120.95940178,23.74833248
5970,132,"LBS",38.37255385,34.95744231
4382,126,"PAL",36.37619652,31.30791811
3465,115,"EAI",26.7956822,37.77924815
11139,149,"IRN",54.30142285,32.56479713
